index,zipCode,PovertyEst,avgAnnCount,avgDeathsPerYear,deathRate,incidenceRate,medIncome,popEst2015,povertyPercent,studyCount,studyPerCap,binnedInc
152,1467,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(40362.7, 42724.4]"
153,1468,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"[22640, 34218.1]"
154,1469,134684,7861.0,2722,159.6,473.1,84026,1585139,8.9,0,0.0,"(34218.1, 37413.8]"
155,1473,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(34218.1, 37413.8]"
156,1474,134684,7861.0,2722,159.6,473.1,84026,1585139,8.9,0,0.0,"[22640, 34218.1]"
157,1475,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(37413.8, 40362.7]"
158,1501,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,1,1.221056385,"(37413.8, 40362.7]"
159,1503,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(45201, 48021.6]"
160,1504,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(37413.8, 40362.7]"
161,1505,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"[22640, 34218.1]"
162,1506,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,2,2.442112769,"(54545.6, 61494.5]"
163,1507,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"[22640, 34218.1]"
164,1510,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"[22640, 34218.1]"
165,1515,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(37413.8, 40362.7]"
166,1516,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(34218.1, 37413.8]"
167,1518,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"[22640, 34218.1]"
168,1519,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"[22640, 34218.1]"
169,1520,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(40362.7, 42724.4]"
170,1521,80178,2371.0,1004,180.0,442.9,49072,470690,17.7,0,0.0,"[22640, 34218.1]"
171,1522,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(45201, 48021.6]"
172,1523,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(40362.7, 42724.4]"
173,1524,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"[22640, 34218.1]"
174,1525,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(34218.1, 37413.8]"
175,1527,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(61494.5, 125635]"
176,1529,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(54545.6, 61494.5]"
177,1531,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(40362.7, 42724.4]"
178,1532,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(51046.4, 54545.6]"
179,1534,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(45201, 48021.6]"
180,1535,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(61494.5, 125635]"
181,1536,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(40362.7, 42724.4]"
182,1537,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(61494.5, 125635]"
183,1540,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(42724.4, 45201]"
184,1541,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(42724.4, 45201]"
185,1542,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(40362.7, 42724.4]"
186,1543,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(37413.8, 40362.7]"
187,1545,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,2,2.442112769,"(48021.6, 51046.4]"
188,1550,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(45201, 48021.6]"
189,1560,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(42724.4, 45201]"
190,1561,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(34218.1, 37413.8]"
191,1562,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(48021.6, 51046.4]"
192,1564,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(54545.6, 61494.5]"
193,1566,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(42724.4, 45201]"
194,1568,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(61494.5, 125635]"
195,1569,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(45201, 48021.6]"
196,1570,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(42724.4, 45201]"
197,1571,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(42724.4, 45201]"
198,1581,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(37413.8, 40362.7]"
199,1583,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(54545.6, 61494.5]"
200,1585,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(54545.6, 61494.5]"
201,1588,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(61494.5, 125635]"
202,1590,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(54545.6, 61494.5]"
